"Package"	"Version"	"LibPath"
"BiocGenerics"	"0.28.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"BiocInstaller"	"1.32.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"BiocManager"	"1.30.10"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"BiocVersion"	"3.8.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"Biostrings"	"2.50.2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"bitops"	"1.0-6"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"boot"	"1.3-20"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"brew"	"1.0-6"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"brnn"	"0.7"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"broom"	"0.5.2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"Cairo"	"1.5-10"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"callr"	"3.4.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"caret"	"6.0-84"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"caTools"	"1.17.1.3"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"cellranger"	"1.1.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"centiserve"	"1.0.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"checkmate"	"1.9.4"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"class"	"7.3-14"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"classInt"	"0.4-2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"cli"	"2.0.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"clipr"	"0.7.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"clisymbols"	"1.2.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"cluster"	"2.0.7-1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"clusterGeneration"	"1.3.4"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"coda"	"0.19-3"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"codetools"	"0.2-15"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"colorspace"	"1.4-1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"combinat"	"0.0-8"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"commonmark"	"1.7"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"compiler"	"3.5.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"covr"	"3.4.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"crayon"	"1.3.4"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"crosstalk"	"1.0.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"curl"	"4.3"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"data.table"	"1.12.8"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"datasets"	"3.5.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"DBI"	"1.0.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"dbplyr"	"1.4.2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"deldir"	"0.1-23"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"dendextend"	"1.13.2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"DEoptimR"	"1.0-8"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"desc"	"1.2.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"devtools"	"2.2.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"DiagrammeR"	"1.0.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"diffobj"	"0.2.3"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"digest"	"0.6.23"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"diptest"	"0.75-7"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"doMC"	"1.3.6"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"doParallel"	"1.0.15"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"doRNG"	"1.7.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"dplyr"	"0.8.3"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"DT"	"0.10"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"e1071"	"1.7-3"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"evaluate"	"0.14"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"expm"	"0.999-4"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"fansi"	"0.4.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"farver"	"2.0.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"fastmap"	"1.0.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"filesstrings"	"3.0.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"fitdistrplus"	"1.0-14"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"flexmix"	"2.3-15"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"fontBitstreamVera"	"0.1.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"fontLiberation"	"0.1.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"fontquiver"	"0.2.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"forcats"	"0.4.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"foreach"	"1.4.7"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"foreign"	"0.8-70"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"Formula"	"1.2-3"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"fpc"	"2.2-3"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"freetypeharfbuzz"	"0.2.5"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"fs"	"1.3.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"G2P"	"1.4.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"gbm"	"2.1.5"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"gdata"	"2.18.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"gdtools"	"0.2.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"generics"	"0.0.2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"genphen"	"1.10.3"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"GGally"	"1.4.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"ggdendro"	"0.1-20"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"ggplot2"	"3.2.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"ggplot2movies"	"0.0.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"ggthemes"	"4.2.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"gh"	"1.0.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"git2r"	"0.26.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"glmnet"	"2.0-16"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"glue"	"1.3.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"gower"	"0.2.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"gplots"	"3.0.1.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"graphics"	"3.5.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"grDevices"	"3.5.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"grid"	"3.5.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"gridExtra"	"2.3"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"gtable"	"0.3.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"gtools"	"3.8.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"haven"	"2.2.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"hexbin"	"1.28.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"hglm"	"2.2-1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"hglm.data"	"1.0-1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"highr"	"0.8"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"Hmisc"	"4.3-0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"hms"	"0.5.2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"hongR"	"0.1.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"htmlTable"	"1.13.3"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"htmltools"	"0.4.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"htmlwidgets"	"1.5.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"httpuv"	"1.5.2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"httr"	"1.4.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"igraph"	"1.2.4.2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"impute"	"1.56.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"influenceR"	"0.1.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"ini"	"0.3.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"inline"	"0.3.15"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"ipred"	"0.9-9"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"IRanges"	"2.16.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"IRdisplay"	"0.7.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"iterators"	"1.0.12"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"jsonlite"	"1.6"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"kernlab"	"0.9-29"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"KernSmooth"	"2.23-15"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"knitr"	"1.26"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"labeling"	"0.3"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"lars"	"1.2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"later"	"1.0.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"lattice"	"0.20-35"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"latticeExtra"	"0.6-28"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"lava"	"1.6.6"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"lazyeval"	"0.2.2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"lifecycle"	"0.1.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"listviewer"	"3.0.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"logspline"	"2.1.15"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"loo"	"2.1.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"lsei"	"1.2-0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"lubridate"	"1.7.4"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"magick"	"2.2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"magrittr"	"1.5"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"manipulateWidget"	"0.10.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"mapproj"	"1.2.6"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"maps"	"3.3.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"maptools"	"0.9-9"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"markdown"	"1.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"MASS"	"7.3-49"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"Matrix"	"1.2-14"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"MatrixModels"	"0.4-1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"matrixStats"	"0.55.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"mclust"	"5.4.5"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"memoise"	"1.1.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"methods"	"3.5.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"mgcv"	"1.8-23"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"mime"	"0.7"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"miniUI"	"0.1.1.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"misc3d"	"0.8-4"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"mlbench"	"2.1-1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"mnormt"	"1.5-5"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"ModelMetrics"	"1.2.2"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"modelr"	"0.1.5"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"modeltools"	"0.2-22"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"multcomp"	"1.4-11"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"munsell"	"0.5.0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"mvtnorm"	"1.0-11"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"nlme"	"3.1-137"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"nnet"	"7.3-12"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"npsurv"	"0.4-0"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"numDeriv"	"2016.8-1.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"nws"	"1.7.0.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"openssl"	"1.4.1"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"ore"	"1.6.3"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
"orientlib"	"0.10.3"	"/Library/Frameworks/R.framework/Versions/3.5/Resources/library"
